nominal;data;curs;cdx
1;01.10.2022;52,7379;Евро
1;30.09.2022;55,4064;Евро
1;29.09.2022;55,7232;Евро
1;28.09.2022;55,9953;Евро
1;27.09.2022;55,9278;Евро
1;24.09.2022;56,4751;Евро
1;23.09.2022;58,9388;Евро
1;22.09.2022;60,2110;Евро
