nominal;data;curs;cdx
1;01.10.2022;55,2987;Доллар США
1;30.09.2022;57,4130;Доллар США
1;29.09.2022;58,4485;Доллар США
1;28.09.2022;58,1756;Доллар США
1;27.09.2022;57,9990;Доллар США
1;24.09.2022;58,1006;Доллар США
1;23.09.2022;59,8318;Доллар США
1;22.09.2022;60,8685;Доллар США
