nominal;data;curs;cdx
10;01.10.2022;29,8581;Турецкая лира
10;30.09.2022;31,0292;Турецкая лира
10;29.09.2022;31,6492;Турецкая лира
10;28.09.2022;31,5431;Турецкая лира
10;27.09.2022;31,5438;Турецкая лира
10;24.09.2022;31,6509;Турецкая лира
10;23.09.2022;32,6746;Турецкая лира
10;22.09.2022;33,2704;Турецкая лира
